,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2025/6/10 0:00,77.09,42.94,104.53,103.36,8051.33,8052.22,9662.2,1088.99,1073.49,1146.87,1130.64,1070.78,1085.73,1214.67,1136.66,1120.37,1211.91,593.53,456.62,479.73,476.01,606.51,464.89,550.16,609.39,588.47,577.05,32.95,27.28,35.98,26.28,27.12,190.99,379.25,242.86,265.46,209.87,105.53,105.98,96.99,109.31,97.68,1478.9,1585.08,1404.74,1569.49,1455.75,1569.26,2357.95,3799.28
2025/6/10 0:00,107.74,106.77,68.71,96.42,9045.24,8577.79,7923.58,1134.78,1151.76,1044.67,1035.48,1219.95,1207.18,1067.5,1197.95,1162.22,1173.53,586.28,482.92,611.87,494.16,604.78,531.36,464.02,459.58,535.25,551.94,32.39,20.03,37.26,32.59,30.48,369.04,329.73,354.25,334.75,336.91,95.78,107.74,103.42,97.95,97.16,1492.5,1572.82,1442.31,1271.73,1224.83,3410.11,1457.01,2853.01
2025/6/10 0:00,76.19,70.41,69.12,107.17,9654.07,8949.77,7941.94,1134.68,1069.11,1190.64,1065.51,1037.53,1082.98,1153.37,1211.13,1168.26,1113.33,571.04,565.79,527.71,602.32,490.53,588.29,586.18,482.75,582.83,492.91,18.45,22.88,16.62,15.44,22.69,224.13,247.9,308.09,306.95,200.47,97.69,95.4,106.27,104.87,108.02,1446.51,1173.46,1438.78,1441.77,1497.57,958.73,2772.38,521.92
2025/6/10 0:00,108.23,61.66,97.11,78.99,8752.7,8415.03,8192.95,1167.41,1184.96,1141.6,1112.4,1038.46,1032.66,1179.72,1123.35,1192.14,1177.96,562.45,472.06,573.07,533.51,537.34,611.25,561.2,583.82,454.6,499.22,28.81,35.69,25.46,30.99,28.77,203.67,184.05,205.88,264.43,378.54,109.78,104.01,95.87,106.86,96.96,1248.6,1426.97,1582.68,1532.86,1574.43,3061.03,760.31,2057.26
2025/6/10 0:00,69.97,71.42,107.25,100.46,9670.95,9164.61,8394.53,1154.97,1185.51,1196.96,1068.52,1106.17,1055.21,1142.38,1153.62,1124.76,1115.76,570.49,601.11,588.56,527.82,575.77,598.51,535.44,483.79,616.6,576.49,39.93,32.16,30.9,29.41,37.67,353.67,346.4,190.14,311.39,210.25,101.99,101.3,104.27,101.43,106.58,1211.81,1307.91,1147.51,1452.65,1189.08,3274.39,1326.31,1901.01
2025/6/10 0:00,40.86,61.44,99.51,83.25,8738.95,9706.27,9737.21,1070.39,1213.7,1098.11,1090.59,1136.91,1120.76,1132.66,1065.35,1092.52,1177.52,557.44,619.92,486.85,513.4,579.91,595.35,597.58,476.02,603.39,525.99,38.11,25.88,27.74,17.13,37.01,254.77,202.12,227.09,376.08,199.84,99.2,95.43,103.86,103.04,107.18,1143.96,1495.07,1537.74,1592.18,1298.37,1832.22,3588.77,2401.45
2025/6/10 0:00,68.41,96.18,102.5,84.65,9335.43,8259.79,9249.43,1051.7,1214.13,1190.34,1160.89,1185.77,1045.2,1127.76,1070.76,1168.05,1060.55,461.87,454.87,591.84,549.81,599.5,573.75,524.54,577.2,461.41,497.13,23.16,31.44,23.45,34.15,28.9,242.55,283,366.91,269.88,358.72,107.29,103.07,103.24,107.74,106.53,1337.21,1521.37,1347.71,1378.77,1450.18,3999.12,2928.3,2429.13
2025/6/10 0:00,63.79,89,47.37,94.89,9348.59,8823.78,8109.07,1197.08,1057.85,1081.84,1096.04,1063.2,1167.08,1183.49,1205.05,1075.05,1034.42,595.11,534.34,461.25,588.37,584.03,521.93,450.38,450.25,511.34,578.83,28.79,24.52,32.18,24.35,17.83,220.58,323.52,369.6,268.72,280.3,105.5,104.65,104.21,96.39,96.01,1540.48,1187.56,1544.81,1598.98,1524.82,2474.33,2740.1,2477.42
2025/6/10 0:00,107.36,87.73,42.29,91.26,8974.28,7694.67,8395.83,1032.85,1092.74,1079.57,1111.86,1035.18,1133.45,1215.38,1044.32,1126.35,1082.87,545.64,567.06,453.32,516.11,471.44,501.66,525.73,534.28,452.99,585.68,19.98,25.27,19.72,33.79,37.29,277.48,350.59,321.6,338.68,227.42,102.83,98.29,105,98.56,96.8,1524.31,1570,1265.83,1486.36,1354.1,3480.98,3340.75,2782.11
2025/6/10 0:00,48.86,105.07,47.66,94.13,9043.96,7763.88,7898.87,1175.49,1045.29,1197.88,1157.22,1172.44,1206.72,1073.44,1048.46,1061.27,1103.96,566.57,534.91,596.13,546.49,488.11,602.84,498.37,467.35,471.87,571.15,31.57,32.95,22,20.69,15.72,364.49,263.84,356.16,336.1,323.02,98.83,95.49,108.52,104.4,108.5,1360.94,1537.4,1358.48,1215.51,1481.88,2511.31,518.38,1468.73
2025/6/10 0:00,61.4,78.32,107.92,62.03,7599.7,7904.14,9373.46,1106.41,1177.16,1123.43,1053.91,1196.84,1111.28,1092.02,1060.69,1215.67,1202.09,567.84,601.86,518.18,495.31,470.09,534.72,612.38,462.98,572.69,579.99,16.07,15.45,35.54,38.11,16.85,206.03,343.49,317.07,340.1,299.82,97.08,101.22,97.48,108.47,105.51,1519.37,1201.35,1153.01,1465.16,1597.51,2992.95,866.9,4002.5
2025/6/10 0:00,59.26,96.53,89.15,65.49,9506.02,8218.21,9492.5,1052.91,1048.82,1175.39,1065.9,1160.05,1067.16,1154.33,1044.98,1206.62,1152.53,533.29,612.36,452.15,533.19,501.13,507.81,562.29,612.41,458.73,547.53,28.04,16.27,35.71,17.3,31.13,213.94,199.85,310.88,246.14,362.23,108.07,104.48,95.36,102.92,107.29,1236.25,1391.86,1443.32,1249.64,1355.03,1213.19,4347.75,2602.63
2025/6/10 0:00,45.75,76.42,48.67,79.58,7631.01,8398.98,9403.56,1049.88,1037.4,1064.32,1052.6,1148.87,1098.45,1100.19,1189.65,1126.96,1112.77,538.88,588.64,584.73,614.89,477.21,589.35,571.49,583.76,605.8,524.97,15.06,25.83,19.03,28.2,35.56,199.89,345.3,321.99,206.6,322.57,109.33,106.89,99.15,95.4,108.37,1388.03,1187.72,1233.38,1428.18,1395.6,2145.71,4089.86,848.09
2025/6/10 0:00,55.19,105.44,74.59,78.77,9203.46,8506,8117.71,1207.26,1041.32,1083.99,1104.66,1157.08,1146.58,1139.85,1112.65,1183.71,1081.49,603.44,494.44,453.83,484.69,547.02,481.16,456.21,488.03,489.13,468.66,17.58,27.98,21.45,27.52,19.63,316.21,240.27,343.46,274.37,204.79,99.04,109.43,102.09,107.15,98.58,1341.12,1146.81,1590.79,1393.54,1184.29,2887.17,3899.7,1970.54
2025/6/10 0:00,85.52,107.01,105.72,106.63,8488.73,8321.4,9267.55,1143.39,1077.9,1206.72,1047.74,1103.32,1034.58,1191.59,1135.15,1184.34,1065.42,600.94,595.27,571.66,578.46,600.92,459.33,541.49,614.06,526.94,591.63,32.49,29.2,38.27,21.04,33.49,315.61,321.45,181.73,337.22,316.63,105.6,108.31,99.93,103.65,103.84,1321.75,1384.97,1429.79,1161.71,1370.21,4175.62,3727.63,1276.53
2025/6/10 0:00,91.26,46.61,96.25,102.29,9206.91,8424.7,9756.62,1097.95,1088.76,1201.55,1035.9,1209.58,1048.07,1215.35,1174.59,1205.74,1201.63,473.74,532.93,584.1,517.62,491.43,518.56,510.09,565.1,562.19,524.11,30.02,26.52,35.95,26.87,26.33,240.95,363.41,215.17,236.9,186.95,95.51,106.66,105.35,107.6,101.46,1429.1,1167.42,1535.76,1391.9,1139.17,3085.24,3273.76,2669.48
2025/6/10 0:00,82.02,91.7,81.3,108.64,9661.66,7712.52,8520.68,1149.59,1106.37,1048.03,1219.75,1039.99,1159.3,1069.08,1035.77,1098.59,1056.74,485.54,570.03,601.24,524.02,591.84,577.94,518.67,564.11,480.52,553.97,37.2,34.67,26.86,21.44,34.88,220.25,210.1,190.72,261.84,376.54,109.96,100.98,107.58,100.49,99.26,1255.31,1430.46,1191.55,1384,1550.98,802.28,1714.91,784.25
2025/6/10 0:00,57.35,80.95,61.42,99.42,7962.13,9149.31,8526.07,1096.64,1160.55,1170.63,1083.5,1083,1082.57,1219.38,1208.88,1176.59,1127.71,566.16,567.48,450.48,497.89,612.16,581.87,517.57,547.96,512.81,511.56,37.83,18.94,32.63,24.6,28.1,298.1,247.7,225.75,326.56,378.57,99.43,106.97,98.41,106.46,107.98,1332.14,1315.72,1463.66,1419.72,1212.85,3921.29,1110.62,2918.27
2025/6/10 0:00,56.77,105.36,103.96,66.16,9156.94,9278.14,9500.22,1151.83,1148.42,1034.2,1037.56,1161.08,1154.75,1210.9,1216.68,1210.23,1182.83,480.83,537.72,561.16,589.79,530.44,522.99,566.97,540.11,553.26,563.11,32.07,35.39,19.9,36.49,35.36,349.05,249.38,204.55,330.61,276.91,103.92,105.88,103.99,106.27,105.37,1599.79,1161.29,1419.47,1327.8,1203.29,566.51,2576.89,3501.07
2025/6/10 0:00,74.54,61.04,104.49,52.03,9665.39,9690.19,8241.27,1197.39,1208.75,1138.39,1170.87,1218.52,1045.02,1138.99,1054.95,1210.76,1209.63,492.67,584.96,495.9,533.67,556.44,549.21,540.77,491.53,473.23,468.06,30.43,29.56,21,32.32,34.96,210.04,272.6,251.29,236.76,233.95,95.79,95.55,102.84,106.06,96.49,1261.38,1221.35,1326.3,1594.46,1236.89,3761.58,1101.98,1343.33
2025/6/10 0:00,41.31,54.1,84,106.93,9062.06,9743.33,8752.98,1088.94,1082.22,1078.03,1203.66,1142.22,1102.1,1203.86,1200.85,1080.55,1106.29,604.3,457.24,557.66,513.9,584.88,490.54,599.62,465.39,588.8,572.61,21.72,30.47,33.82,33.71,33.34,320.39,183.19,268.25,342.96,189.46,102.81,103.25,103.25,109.84,107.26,1565,1125.42,1451.62,1462.37,1118.28,2862.73,4110.29,4280.56
2025/6/10 0:00,79.98,102.51,63.41,103.2,8884.47,9502.26,9084.51,1098.9,1114.48,1099.48,1067.22,1110.91,1112.51,1069.91,1030.11,1128.81,1060.33,594.48,458.2,516.05,532.88,453.02,451.15,498.19,510.22,531.39,513.21,28.3,22.03,38.28,21.05,18.27,214.79,289.73,243.55,238.12,314.71,103.42,109.72,102.12,108.77,101.92,1528.91,1394.82,1597.91,1228.79,1191.85,1691.62,2408.84,2152.57
2025/6/10 0:00,94.72,59.39,53.79,65.53,9771.41,8068.43,8363.08,1084.86,1036.98,1144.34,1041.98,1136.02,1170,1038.06,1064.53,1067.13,1095.55,453.45,503.93,470.55,599.8,543.17,575.79,517.11,537.69,604.66,596.95,37.46,27.42,17.41,28.33,39.07,228.8,274.64,297.08,295.16,283.03,98.56,109.89,107.78,102.68,95.21,1492.71,1294.03,1167.2,1355.29,1524.81,2434.73,542.25,3180.42
2025/6/10 0:00,109.21,96.88,49.45,68.84,7887.05,9276.57,7685.34,1045.17,1094.76,1168.06,1076.84,1082.29,1139.62,1194.85,1214.57,1109.91,1036.77,462.91,548,465.15,570.14,573.66,524.94,557.96,583.8,487.77,548.29,38.77,38.55,34.35,15.76,21.02,180.94,264.91,241.79,214.91,321.76,99.65,103.52,96.83,99.91,96.17,1300.8,1192.66,1202.43,1274.96,1305.97,2001.82,2682.68,1375.22
2025/6/10 0:00,86.15,97.61,54.21,48.59,7723.33,8251.34,9511.56,1100.64,1120.07,1081.87,1126.54,1109.2,1083.95,1197.58,1125.95,1148.11,1092.79,556.42,586.43,606.85,486.37,465.4,458.42,494.16,490.57,501.6,477.39,24.82,32.2,20.78,15.71,25.98,295.59,323.96,258.34,248.3,316.21,105.62,95.82,103.05,100.56,106.42,1330.17,1260.75,1199.24,1122.11,1321.13,4015.09,4484.4,857.78
2025/6/10 0:00,65.25,103.54,98.61,104.19,8167.02,8672.4,9357.29,1153.6,1038.92,1083.43,1200.64,1063.05,1088.26,1067.21,1042.95,1055.81,1180.6,455.39,556.1,533.13,617.29,494.19,498.71,528.56,572.14,598.18,592.24,16.34,33.25,17.45,33.94,24.28,188.5,286.47,269.15,374.52,373.64,99.13,107.46,106.86,108,101.1,1469.91,1440.67,1436.11,1393.15,1402.66,1947.38,3614.92,3515.2
2025/6/10 0:00,82.04,69.39,89.94,92.64,8784.94,9160.99,8351.29,1056.31,1211.22,1053.72,1060.73,1140.59,1219.61,1202.49,1055.79,1175.13,1208.5,504.01,461.44,515.96,528.72,592.42,576.28,569.61,580.05,544.15,497.67,20.02,38.13,23.49,24.68,20.73,364.15,208.43,189.03,352.6,183.48,105.97,102.41,108.73,96.91,108.21,1286.92,1177.5,1112.5,1552.85,1495.56,3324.92,608.81,1923.72
2025/6/10 0:00,44.73,75.86,88.06,106.33,8399.3,7777.58,8230.59,1134.1,1072.54,1142.5,1076.92,1149.08,1070.87,1131.64,1106.59,1060.75,1066.59,488.96,484.23,595.17,570.85,596.41,583.92,583.76,532.86,503.4,548.35,22.96,33.03,32.23,38.19,27.98,264.91,203.75,369.54,343.21,286.98,107.95,101.01,99.39,95.95,97.08,1226.7,1205.73,1414.52,1221.91,1121.84,2891.39,4372.55,3051.56
2025/6/10 0:00,92.71,72.83,109.9,100.04,9297.43,9373.24,7807.42,1218.01,1218.58,1037.52,1107.66,1203.84,1190.95,1182.94,1106.16,1088.47,1157.69,581.67,558.78,460.42,480.48,530.15,502.37,479.16,487.67,499.58,521.12,24.66,18.35,25.54,29.43,22.85,366.18,335.62,335.52,277.41,221.12,109.96,95.08,104.46,100.06,108.45,1103.2,1494.84,1364.82,1373.11,1367.82,4230.46,2766.18,1461.4
2025/6/10 0:00,43.98,76.17,52.32,105.43,8690.62,8639.86,8435.87,1214.3,1179.36,1125.04,1217.63,1039.08,1146.24,1082.78,1177.73,1034.08,1118.49,497.96,572.08,567.02,566.53,592.33,492.89,506.42,518,478.65,495.14,18.03,35.84,30.79,21.01,37.37,205.12,224.79,203.24,188.28,271.78,97.62,109.75,106.36,109.89,101.03,1486.38,1570.11,1185.09,1541.37,1332.42,2746.57,3092.93,687.58
2025/6/10 0:00,82.41,95.06,78.01,105.53,9036.41,8433.05,9777.25,1205.93,1098.41,1186.68,1141.74,1127,1129.43,1036.94,1139.35,1152.31,1161.95,593.9,529.88,522.68,532.53,472.14,525.85,544.41,451.97,502.69,497.31,18.19,33.14,37.9,26.48,36.97,280.08,196.08,360.44,335.22,254.59,108.71,97.18,103.01,107.36,99.32,1190.25,1110.54,1224.47,1350.97,1389.43,2627.98,1795.22,4438.33
2025/6/10 0:00,87.27,84.5,48.17,102.1,9456.37,8578.43,8244.83,1120.74,1201.76,1086.87,1208.39,1161.16,1154.45,1113.53,1127.73,1134.14,1182.9,516.09,600.64,595.89,587.53,504.19,539.53,472.42,502.56,495.24,531.68,37.95,19.71,39.95,25.21,21.72,324.39,275.02,246.4,369.21,357.41,105.13,97.91,102.85,105.6,103.15,1315.6,1564.34,1335.52,1240.55,1204.07,2155.09,1114.31,3190.39
2025/6/10 0:00,52.36,61.91,105.97,76.13,7878.13,9171.97,7789.2,1031.77,1053.72,1189.53,1162.35,1197.61,1202.26,1164.18,1120.33,1124.56,1209.48,608.03,612.5,550.46,556.63,579.73,610.56,527.97,561.2,599.41,539.82,38.15,32.13,32.54,31.99,22.22,365.35,358.66,293.92,276.64,355.22,109.93,107.21,99.67,106.22,99.5,1325.58,1211.59,1574.17,1267.8,1460.46,3731.4,4366.29,914.24
2025/6/10 0:00,83.08,44.91,63.16,66.01,9100.06,8891.3,8970.9,1208.89,1155.77,1163.32,1097.63,1121.51,1194.68,1172.85,1179.91,1140.49,1151.56,586.37,491.66,588.37,557.57,493,532.3,560.03,522.68,479.23,513.04,28.66,35.71,33.44,30.52,19.87,290.1,200.53,278.42,217.32,327.05,108.34,105.04,99.81,96.1,96.85,1229.02,1510.23,1260.02,1370.11,1329.1,3922.07,2347.2,2248.23
2025/6/10 0:00,99.96,87.71,41.87,78.38,8794.31,7515.74,8552.85,1188.05,1053.18,1185.19,1151.52,1087.53,1184.69,1153.4,1164.54,1065.68,1100.72,539.66,612.01,618.23,517.17,473.88,560.22,580.84,575.83,605.28,586.56,17.84,36.74,16.91,28.25,27.1,276.09,225.97,320.51,275,226.81,102.52,109.06,102.09,105.39,108.57,1118.35,1451.39,1465.98,1316.31,1449.85,3562.96,2631.69,1412.2
2025/6/10 0:00,87.2,103.38,98.58,60.91,7953.27,8275.45,8194.03,1140.57,1049.94,1037.57,1079.44,1034.02,1065.72,1194.4,1132.62,1127.53,1150.31,574.82,579.09,568.26,594.63,569.09,571.67,591.48,507.18,589.29,564.46,21.37,24.99,35.36,37.79,24.99,335.89,359.92,369.28,308.17,201.26,108.14,107.72,100.22,106.49,104.33,1241.5,1368.66,1339.25,1255.89,1294.79,944.7,4311.81,4242.94
2025/6/10 0:00,55.26,100.8,64.31,103.35,8151.62,8608.57,9035.3,1089.46,1128.25,1155.65,1180.5,1056.21,1184.11,1043.01,1074.48,1038.57,1184.21,581.79,521.2,573.32,588.96,490.07,484.62,581.37,554.68,466.01,463.58,21.38,27.12,36.48,18.49,35.06,373.56,251.77,295.5,301.76,323.02,100.47,100.37,105.74,102.71,105.62,1306.29,1341.37,1117.89,1132.09,1158.3,4354.3,3244.25,3877.25
2025/6/10 0:00,67.27,92.23,43.1,66,8475.52,8112.01,9550.89,1058.72,1191.49,1203.23,1074.88,1094.75,1197.4,1115.47,1125.89,1111.78,1124.39,559.68,535.81,505.14,511.87,546.52,506.45,614.96,521.26,491.74,490.21,31.27,29.18,34.09,21.51,32.73,303.05,281.13,243.02,213.21,264.48,109.56,105.99,103.82,109.57,108.98,1371.23,1583.05,1320.07,1437.89,1115.78,1053.83,4024.62,1115.47
2025/6/10 0:00,43.16,85.93,83.78,78.41,8985.33,9329.15,8451.97,1181.91,1032.19,1168.83,1125.2,1167.37,1083.23,1120.24,1203.9,1070.32,1166.76,477.55,614.42,597.99,524.7,536.23,567.93,598.66,537.86,589.82,468.13,38.02,32.74,18.36,17.79,21.08,225.24,376.19,369.4,330.44,299.21,98.73,99.82,105,104.62,96.53,1146.28,1139.65,1407.13,1174.6,1427.79,4042.68,751.64,3206.99
2025/6/10 0:00,66.83,59.97,74.74,70.36,8450.36,9452.13,9391.61,1119.7,1076.32,1204.82,1219.67,1087.09,1217.65,1069.41,1036.29,1134.82,1097.21,607.66,584.43,619.3,472.77,584.2,501.42,500.33,603.09,573.26,500.03,38.13,23.65,17.36,29.89,24.49,343.4,248.29,342.51,332.96,332.43,103.39,99.56,107.95,108.77,95.12,1258.86,1150.23,1242.57,1250.61,1563.98,1178.86,2844.71,3575.16
2025/6/10 0:00,57.75,95.85,74.78,63.42,8861.83,9772.05,7821.95,1038.55,1167.21,1134.41,1160.36,1137.08,1127.05,1152.39,1108.5,1212.69,1115.88,601.72,503.23,474.61,535.35,488.7,455.14,545.15,450.55,467.24,611.55,28.81,22.13,28.55,16.66,24.98,321.35,323.43,181.06,186.24,209.91,95.62,105.96,96.69,101.11,108.47,1261.89,1111.74,1390.91,1482.14,1325.36,1245.52,1533.74,1160.93
2025/6/10 0:00,41.85,71.78,78.86,65.42,9685.84,7521.41,7748.99,1187.57,1096.43,1170.38,1200.9,1207.22,1040.97,1150.03,1030.65,1159.13,1130.85,499.61,600.47,514.35,452.28,462.51,477.3,495.71,466.72,606.27,514.89,28.67,28.19,30.73,24.92,37.67,338.8,182.38,252.94,356.38,208.61,95.11,102.9,105.15,107.79,96.34,1130.39,1218.25,1292.87,1385.62,1505.43,2167.21,1817.12,3863.51
2025/6/10 0:00,48.84,56.88,46.36,83.73,7560.88,8144.88,9511.56,1193.51,1157.18,1051.06,1106.05,1160.64,1049.38,1039.25,1052.05,1041.01,1086.33,504.72,610.78,532.97,552.19,514.83,516.99,541.39,599.24,536.44,561.47,35.65,34.58,15.36,25.45,35.65,195.45,376.52,312.41,359.83,369.52,107.07,109.82,106.46,109.03,103.05,1242.68,1446.88,1398.31,1279.73,1162.9,3361.82,1398.69,3244.93
2025/6/10 0:00,44.23,64.12,43.96,83.07,8327.88,8307.91,8531.73,1163.77,1213.17,1030.93,1040.09,1091.82,1040.1,1078.06,1085.09,1088.62,1218.05,589.27,591.65,596.03,587.21,611.25,580.97,599.07,551.79,552.64,554.02,20.86,23.84,34.79,26.93,39.49,284.37,359.39,242.11,258.42,298.09,101.66,95.87,101.9,104.49,106.71,1187.54,1212.76,1592.8,1225.66,1504.32,1087,2282.09,1938.16
2025/6/10 0:00,71.4,60.87,63.85,89.24,9335.63,7772.17,8757.61,1103.94,1210,1187.02,1088.21,1098.61,1178.7,1089.68,1218.04,1193.4,1049.73,514.02,483.27,476.9,498.39,562.77,552,496.47,490.54,611.37,501.82,18.93,38.12,23.01,19.14,30.15,275.15,377.98,191.5,227.63,198.65,101.6,103.31,101.29,106.02,103.63,1537.25,1465.2,1146.73,1302.26,1393.57,4294.33,2059.02,4018.41
2025/6/10 0:00,73.19,43.74,66.98,47.72,9479.42,9411.07,8824.54,1091.03,1108.03,1117.05,1170.3,1196.2,1134.73,1071.66,1219.09,1083.12,1127.27,609.29,466.31,457.72,611.63,518.45,466.02,585.87,600.82,504.68,546.06,25.6,25.13,34.81,28.26,34.76,215.12,351.93,184.49,191.63,267.95,96.38,107.1,107.5,105.62,106.84,1326.46,1271.34,1166.32,1500.86,1504.36,934.21,2128.56,1278.54
