Datetime,P0001,P0002,P0003,P0004,P0005,P0006,P0007,P0008,P0009,P0010,P0011,P0012,P0013,P0014,P0015,P0016,P0017,P0018,P0019,P0020,P0021,P0022,P0023,P0024,P0025,P0026,P0027,P0028,P0029,P0030,P0031,P0032,P0033,P0034,P0035,P0036,P0037,P0038,P0039,P0040,P0041,P0042,P0043,P0044,P0045,P0046,P0047,P0048,P0049,P0050,P0051,P0052,P0053,P0054,P0055,P0056,P0057,P0058,P0059,P0060,P0061,P0062,P0063,P0064,P0065,P0066,P0067,P0068,P0069,P0070,P0071,P0072,P0073,P0074,P0075,P0076,P0077,P0078,P0079,P0080,P0081,P0082,P0083,P0084,P0085,P0086,P0087,P0088,P0089,P0090,P0091,P0092,P0093,P0094,P0095,P0096,P0097,P0098,P0099,P0100
2025-06-10 00:00:08,60.6,43.68,53.13,41.8,9401.7,9339.4,7756.51,1180.96,1159.44,1041.53,1077.92,1065.87,1079.05,1156.72,1105.4,1199.5,1140.51,545.17,614.44,608.6,595.75,549.09,500.14,579.72,509.7,561.0,465.52,27.41,27.81,32.66,17.77,22.81,345.36,357.08,367.72,309.5,337.2,101.77,100.98,108.05,103.22,106.84,1563.33,1186.56,1174.9,1442.75,1111.2,1704.64,2470.75,962.18,1302.1,3071.27,410.34,481.85,408.67,559.07,429.67,516.06,470.48,501.66,3337.09,3758.27,2008.06,1829.06,4280.82,69.07,67.38,48.46,72.91,75.63,283.72,254.65,219.3,237.21,241.76,4.41,1.56,1.31,4.41,0.9,4.17,0.34,3.04,0.74,2.24,13.84,48.25,93.91,22.4,85.96,40.56,67.09,67.62,56.91,69.43,28.2,9.17,24.34,29.52,23.84
2025-06-10 00:00:09,87.5,42.58,106.84,92.05,9394.1,7594.13,9342.39,1129.35,1119.57,1065.18,1206.88,1132.38,1186.54,1192.28,1138.79,1133.7,1174.83,547.87,605.0,498.49,581.28,525.36,615.73,571.32,477.74,505.89,574.55,23.63,35.55,39.02,37.65,39.11,277.22,343.77,237.57,374.25,293.18,100.88,103.25,98.12,102.23,107.76,1194.23,1139.7,1200.81,1259.49,1232.12,4424.71,1771.2,4207.92,3435.49,1919.83,425.38,451.47,470.47,513.35,569.68,407.52,537.49,450.47,4919.4,3880.36,3816.24,4198.37,4473.11,52.15,72.58,62.42,76.85,48.65,274.72,297.82,237.85,244.82,212.3,2.88,3.73,1.18,4.16,2.06,0.31,3.54,1.66,2.47,1.95,51.34,17.85,46.18,68.32,57.97,49.9,80.0,87.0,89.48,83.5,16.97,15.04,8.55,8.57,8.41
2025-06-10 00:00:10,77.09,42.94,104.53,103.36,8051.33,8052.22,9662.2,1088.99,1073.49,1146.87,1130.64,1070.78,1085.73,1214.67,1136.66,1120.37,1211.91,593.53,456.62,479.73,476.01,606.51,464.89,550.16,609.39,588.47,577.05,32.95,27.28,35.98,26.28,27.12,190.99,379.25,242.86,265.46,209.87,105.53,105.98,96.99,109.31,97.68,1478.9,1585.08,1404.74,1569.49,1455.75,1569.26,2357.95,3799.28,981.3,1809.4,531.5,545.11,425.01,562.89,419.11,488.83,454.1,553.45,2558.47,4450.07,3023.73,2993.95,1611.21,62.67,73.11,68.43,53.72,75.3,281.72,252.93,202.46,247.79,215.57,2.65,4.6,0.86,1.13,0.74,1.61,2.79,2.69,3.95,3.79,21.12,30.11,26.2,94.62,20.48,53.85,53.94,54.42,91.11,78.11,23.38,8.22,20.96,22.98,7.24
2025-06-10 00:00:11,107.74,106.77,68.71,96.42,9045.24,8577.79,7923.58,1134.78,1151.76,1044.67,1035.48,1219.95,1207.18,1067.5,1197.95,1162.22,1173.53,586.28,482.92,611.87,494.16,604.78,531.36,464.02,459.58,535.25,551.94,32.39,20.03,37.26,32.59,30.48,369.04,329.73,354.25,334.75,336.91,95.78,107.74,103.42,97.95,97.16,1492.5,1572.82,1442.31,1271.73,1224.83,3410.11,1457.01,2853.01,2116.32,2313.09,434.36,521.72,509.98,540.16,456.81,399.72,388.61,552.12,3414.42,4842.17,2397.58,3065.37,5164.65,61.57,51.16,48.65,50.44,57.46,232.88,238.59,215.6,295.98,279.02,2.8,1.15,4.23,3.03,3.53,4.89,3.29,2.4,2.2,2.72,20.82,38.46,51.22,81.28,51.27,83.22,20.95,56.31,97.56,80.22,8.06,26.36,8.85,5.34,7.5
2025-06-10 00:00:12,76.19,70.41,69.12,107.17,9654.07,8949.77,7941.94,1134.68,1069.11,1190.64,1065.51,1037.53,1082.98,1153.37,1211.13,1168.26,1113.33,571.04,565.79,527.71,602.32,490.53,588.29,586.18,482.75,582.83,492.91,18.45,22.88,16.62,15.44,22.69,224.13,247.9,308.09,306.95,200.47,97.69,95.4,106.27,104.87,108.02,1446.51,1173.46,1438.78,1441.77,1497.57,958.73,2772.38,521.92,3673.78,3665.3,475.59,440.8,487.4,433.55,487.37,442.14,495.34,511.09,3968.44,2785.27,4629.58,4837.48,3368.71,62.84,46.6,52.83,51.52,66.75,261.09,264.64,253.25,214.64,244.11,2.93,3.38,3.79,0.58,1.16,2.94,2.91,2.73,3.07,2.29,51.99,49.74,56.24,73.46,14.2,28.41,64.84,45.61,30.61,34.72,24.53,6.29,6.1,8.22,13.65
2025-06-10 00:00:13,108.23,61.66,97.11,78.99,8752.7,8415.03,8192.95,1167.41,1184.96,1141.6,1112.4,1038.46,1032.66,1179.72,1123.35,1192.14,1177.96,562.45,472.06,573.07,533.51,537.34,611.25,561.2,583.82,454.6,499.22,28.81,35.69,25.46,30.99,28.77,203.67,184.05,205.88,264.43,378.54,109.78,104.01,95.87,106.86,96.96,1248.6,1426.97,1582.68,1532.86,1574.43,3061.03,760.31,2057.26,4257.3,3164.01,398.0,539.85,554.5,409.94,413.47,409.99,566.06,569.06,2129.23,4245.47,3907.86,2534.44,5337.02,46.72,65.51,69.31,69.56,73.3,269.46,297.37,202.92,265.77,272.74,4.98,1.99,2.57,2.01,4.77,4.63,3.04,3.46,4.01,3.9,57.41,94.78,47.9,89.67,56.94,11.09,49.19,57.74,50.54,95.02,29.97,22.97,20.27,25.17,15.3
2025-06-10 00:00:14,69.97,71.42,107.25,100.46,9670.95,9164.61,8394.53,1154.97,1185.51,1196.96,1068.52,1106.17,1055.21,1142.38,1153.62,1124.76,1115.76,570.49,601.11,588.56,527.82,575.77,598.51,535.44,483.79,616.6,576.49,39.93,32.16,30.9,29.41,37.67,353.67,346.4,190.14,311.39,210.25,101.99,101.3,104.27,101.43,106.58,1211.81,1307.91,1147.51,1452.65,1189.08,3274.39,1326.31,1901.01,4225.15,1124.88,389.24,389.65,465.61,487.69,383.41,531.25,383.71,541.38,4740.28,2943.03,2453.97,3452.41,2107.09,76.49,46.34,45.78,74.73,59.64,266.47,212.67,280.25,211.75,263.96,4.51,3.05,4.49,4.14,2.51,1.85,3.96,2.33,1.51,4.72,16.33,21.79,66.05,82.39,88.26,41.91,55.33,22.35,30.3,37.47,26.17,29.03,19.07,20.36,13.95
2025-06-10 00:00:15,40.86,61.44,99.51,83.25,8738.95,9706.27,9737.21,1070.39,1213.7,1098.11,1090.59,1136.91,1120.76,1132.66,1065.35,1092.52,1177.52,557.44,619.92,486.85,513.4,579.91,595.35,597.58,476.02,603.39,525.99,38.11,25.88,27.74,17.13,37.01,254.77,202.12,227.09,376.08,199.84,99.2,95.43,103.86,103.04,107.18,1143.96,1495.07,1537.74,1592.18,1298.37,1832.22,3588.77,2401.45,1505.29,1013.55,400.8,509.98,513.52,419.48,506.3,526.02,555.24,495.07,3220.24,5163.14,1702.12,2405.62,4787.73,46.74,75.83,45.34,74.87,52.9,286.72,243.19,248.17,267.45,212.21,3.84,0.4,2.56,0.18,0.33,2.8,0.7,1.55,0.19,1.05,18.91,12.1,99.32,22.03,59.82,17.7,43.6,69.9,71.22,84.82,8.85,19.17,5.87,5.63,16.76
2025-06-10 00:00:16,68.41,96.18,102.5,84.65,9335.43,8259.79,9249.43,1051.7,1214.13,1190.34,1160.89,1185.77,1045.2,1127.76,1070.76,1168.05,1060.55,461.87,454.87,591.84,549.81,599.5,573.75,524.54,577.2,461.41,497.13,23.16,31.44,23.45,34.15,28.9,242.55,283.0,366.91,269.88,358.72,107.29,103.07,103.24,107.74,106.53,1337.21,1521.37,1347.71,1378.77,1450.18,3999.12,2928.3,2429.13,2514.88,3397.46,553.5,390.97,391.66,525.48,421.08,473.03,545.08,491.82,4995.58,3236.95,2911.47,4807.22,2537.25,62.41,61.36,59.08,51.64,71.28,256.5,276.17,252.11,229.14,256.64,2.25,3.76,3.13,1.62,4.79,1.07,3.61,2.06,4.07,3.17,85.9,37.41,95.81,75.61,48.46,20.65,66.95,98.26,16.56,65.09,14.16,14.53,27.55,21.6,10.24
2025-06-10 00:00:17,63.79,89.0,47.37,94.89,9348.59,8823.78,8109.07,1197.08,1057.85,1081.84,1096.04,1063.2,1167.08,1183.49,1205.05,1075.05,1034.42,595.11,534.34,461.25,588.37,584.03,521.93,450.38,450.25,511.34,578.83,28.79,24.52,32.18,24.35,17.83,220.58,323.52,369.6,268.72,280.3,105.5,104.65,104.21,96.39,96.01,1540.48,1187.56,1544.81,1598.98,1524.82,2474.33,2740.1,2477.42,3579.15,3771.38,503.7,518.89,565.49,425.37,449.29,498.87,541.95,568.94,5169.88,2351.11,2671.49,4225.77,4773.78,46.41,64.97,74.92,73.36,59.94,216.21,241.99,210.97,209.95,210.51,3.84,0.76,4.95,3.29,4.66,1.2,4.44,3.63,1.78,1.86,20.24,57.89,85.41,91.87,69.93,98.15,31.85,71.72,86.03,11.11,28.81,23.37,29.94,25.48,25.09
2025-06-10 00:00:18,107.36,87.73,42.29,91.26,8974.28,7694.67,8395.83,1032.85,1092.74,1079.57,1111.86,1035.18,1133.45,1215.38,1044.32,1126.35,1082.87,545.64,567.06,453.32,516.11,471.44,501.66,525.73,534.28,452.99,585.68,19.98,25.27,19.72,33.79,37.29,277.48,350.59,321.6,338.68,227.42,102.83,98.29,105.0,98.56,96.8,1524.31,1570.0,1265.83,1486.36,1354.1,3480.98,3340.75,2782.11,1156.01,3008.85,558.12,507.76,521.15,497.35,475.11,425.75,437.79,385.38,4450.29,2617.34,5322.9,3921.94,5311.0,57.44,64.97,61.65,49.7,63.88,296.12,256.94,226.71,260.67,261.61,2.61,2.07,1.33,2.69,0.64,0.53,2.3,0.46,3.39,4.54,89.92,26.03,11.21,35.04,46.45,80.25,40.83,26.29,20.07,64.57,17.86,7.87,18.57,28.8,28.02
2025-06-10 00:00:19,48.86,105.07,47.66,94.13,9043.96,7763.88,7898.87,1175.49,1045.29,1197.88,1157.22,1172.44,1206.72,1073.44,1048.46,1061.27,1103.96,566.57,534.91,596.13,546.49,488.11,602.84,498.37,467.35,471.87,571.15,31.57,32.95,22.0,20.69,15.72,364.49,263.84,356.16,336.1,323.02,98.83,95.49,108.52,104.4,108.5,1360.94,1537.4,1358.48,1215.51,1481.88,2511.31,518.38,1468.73,3205.62,2102.68,559.25,467.11,458.25,436.95,388.57,460.79,465.23,399.2,3039.11,2511.66,4237.05,2680.72,3279.7,50.43,70.68,69.95,53.91,76.89,254.03,258.43,237.28,253.65,202.19,4.56,0.72,3.81,5.0,0.95,1.27,2.38,2.88,2.63,0.59,32.81,76.0,39.08,98.55,63.23,14.85,72.78,19.86,84.22,52.62,17.22,19.6,9.65,11.18,13.59
2025-06-10 00:00:20,61.4,78.32,107.92,62.03,7599.7,7904.14,9373.46,1106.41,1177.16,1123.43,1053.91,1196.84,1111.28,1092.02,1060.69,1215.67,1202.09,567.84,601.86,518.18,495.31,470.09,534.72,612.38,462.98,572.69,579.99,16.07,15.45,35.54,38.11,16.85,206.03,343.49,317.07,340.1,299.82,97.08,101.22,97.48,108.47,105.51,1519.37,1201.35,1153.01,1465.16,1597.51,2992.95,866.9,4002.5,3801.9,1401.53,433.05,420.07,475.5,474.74,454.27,454.34,511.82,421.12,4184.52,2120.61,1612.2,2798.19,3972.23,74.61,76.58,75.38,55.82,66.25,250.67,208.98,249.67,234.75,256.03,1.07,3.44,3.73,4.11,4.48,2.29,2.02,0.46,2.66,2.43,69.95,70.32,12.81,65.29,41.11,50.41,29.56,12.76,49.57,66.2,11.02,5.65,11.1,6.82,12.65
2025-06-10 00:00:21,59.26,96.53,89.15,65.49,9506.02,8218.21,9492.5,1052.91,1048.82,1175.39,1065.9,1160.05,1067.16,1154.33,1044.98,1206.62,1152.53,533.29,612.36,452.15,533.19,501.13,507.81,562.29,612.41,458.73,547.53,28.04,16.27,35.71,17.3,31.13,213.94,199.85,310.88,246.14,362.23,108.07,104.48,95.36,102.92,107.29,1236.25,1391.86,1443.32,1249.64,1355.03,1213.19,4347.75,2602.63,953.97,1418.44,380.62,406.79,493.36,409.7,505.5,480.48,501.67,532.65,1632.87,2168.61,4855.52,5050.69,3186.08,53.58,53.84,61.18,65.49,48.07,281.05,293.46,231.76,299.85,206.46,1.44,0.84,2.79,2.49,4.38,0.28,2.62,2.76,1.21,4.13,55.46,38.81,50.62,77.88,21.69,30.86,39.07,90.0,55.62,47.57,22.0,8.7,21.49,25.04,25.04
2025-06-10 00:00:22,45.75,76.42,48.67,79.58,7631.01,8398.98,9403.56,1049.88,1037.4,1064.32,1052.6,1148.87,1098.45,1100.19,1189.65,1126.96,1112.77,538.88,588.64,584.73,614.89,477.21,589.35,571.49,583.76,605.8,524.97,15.06,25.83,19.03,28.2,35.56,199.89,345.3,321.99,206.6,322.57,109.33,106.89,99.15,95.4,108.37,1388.03,1187.72,1233.38,1428.18,1395.6,2145.71,4089.86,848.09,504.3,771.27,501.33,465.04,492.63,404.65,413.41,466.57,531.11,476.58,2353.92,3250.82,1732.47,4157.75,1861.69,78.47,52.68,56.7,72.76,76.73,270.22,203.13,274.29,234.34,287.48,0.5,0.18,0.11,3.37,2.87,0.55,2.87,2.22,1.7,3.17,49.33,18.36,93.72,49.48,78.67,37.36,60.37,35.61,41.92,32.6,18.11,14.25,17.49,17.7,15.83
2025-06-10 00:00:23,55.19,105.44,74.59,78.77,9203.46,8506.0,8117.71,1207.26,1041.32,1083.99,1104.66,1157.08,1146.58,1139.85,1112.65,1183.71,1081.49,603.44,494.44,453.83,484.69,547.02,481.16,456.21,488.03,489.13,468.66,17.58,27.98,21.45,27.52,19.63,316.21,240.27,343.46,274.37,204.79,99.04,109.43,102.09,107.15,98.58,1341.12,1146.81,1590.79,1393.54,1184.29,2887.17,3899.7,1970.54,1900.02,522.38,395.99,380.25,490.63,441.9,399.3,502.43,526.78,412.56,4244.13,5300.51,3694.81,1924.17,5421.55,65.48,74.37,72.5,71.08,57.0,266.07,251.01,227.67,245.1,228.27,0.58,3.48,4.0,0.58,2.69,4.63,1.01,1.26,1.47,4.21,68.29,11.33,29.18,36.82,37.42,85.36,27.25,48.86,16.71,38.36,20.25,8.86,19.57,14.51,6.85
2025-06-10 00:00:24,85.52,107.01,105.72,106.63,8488.73,8321.4,9267.55,1143.39,1077.9,1206.72,1047.74,1103.32,1034.58,1191.59,1135.15,1184.34,1065.42,600.94,595.27,571.66,578.46,600.92,459.33,541.49,614.06,526.94,591.63,32.49,29.2,38.27,21.04,33.49,315.61,321.45,181.73,337.22,316.63,105.6,108.31,99.93,103.65,103.84,1321.75,1384.97,1429.79,1161.71,1370.21,4175.62,3727.63,1276.53,3002.35,4006.05,461.31,520.44,456.97,554.71,471.75,553.24,552.58,559.05,4026.5,2564.74,4171.93,3727.72,3219.75,47.08,75.74,64.76,59.28,66.23,251.03,206.53,281.11,218.43,297.62,0.53,4.06,2.52,0.6,2.26,0.32,2.36,4.88,3.35,4.34,87.53,37.89,18.7,80.09,77.42,96.04,45.67,77.28,33.41,88.32,29.38,6.92,23.29,6.87,29.79
2025-06-10 00:00:25,91.26,46.61,96.25,102.29,9206.91,8424.7,9756.62,1097.95,1088.76,1201.55,1035.9,1209.58,1048.07,1215.35,1174.59,1205.74,1201.63,473.74,532.93,584.1,517.62,491.43,518.56,510.09,565.1,562.19,524.11,30.02,26.52,35.95,26.87,26.33,240.95,363.41,215.17,236.9,186.95,95.51,106.66,105.35,107.6,101.46,1429.1,1167.42,1535.76,1391.9,1139.17,3085.24,3273.76,2669.48,678.29,2151.72,388.85,445.52,536.19,438.46,526.26,425.73,426.45,443.35,4228.58,5206.02,4490.1,4806.33,4327.9,45.94,78.83,70.29,62.58,57.92,240.7,202.77,225.08,292.75,223.91,1.03,1.1,2.26,1.81,2.04,3.51,1.53,3.17,4.91,2.66,90.46,73.2,31.14,23.38,88.83,38.92,45.17,83.74,42.88,58.96,9.48,16.19,22.41,16.22,19.7
