,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2025/6/11 14:30,70.9,56.83,45.13,87.89,9565.33,9460.4,8608.31,1185,1085.94,1189.78,1189.55,1188.95,1140.43,1155.81,1036.43,1106.53,1181.22,494.85,581.18,506.94,588.32,592.72,493.44,568.63,504.28,490.07,527.39,30.39,20.58,27.14,37.49,16.62,242.32,259.26,228.43,264.94,307.52,100.26,101.68,96.02,105.2,105.69,1198.01,1223.02,1418.31,1163.71,1413.36,1224.77,3954.51,2415.2,1136.89,2469.22,385.76,440.75,446.2,534.95,485.86,443.2,548.93,383.2,2138.89,1860.92,1980.77,3754.91,2822.43,56.97,68.01,62.43,62.28,66.35,225.81,266.79,278.44,240.41,227.05,1.9,1.8,2.52,2.24,2.17,1.22,4.64,4.94,1.11,4.33,39.4,34.5,39.14,57.67,28.37,14.29,66.05,41.1,39.93,71.93,21.16,10.95,7.85,26.99,5.13
2025/6/11 14:30,102.77,87.62,83.31,70.19,8050.87,8889.99,9636.76,1214.26,1054.88,1168.33,1106.73,1189.95,1089.5,1130.18,1138.64,1090.02,1131.41,485.49,589.71,551.83,594.08,495.17,509.15,570.66,502.92,490.6,609.13,36.8,30.13,15.92,33.3,36.66,180.24,308.81,201.66,298.38,261.43,98.15,103.87,107.84,103.6,99.92,1456.85,1244.78,1299.24,1248.95,1347.47,3727.2,2670.01,4230.9,4257.62,1789.6,466.75,476.21,494.77,466.77,398.65,426.84,472.81,430.5,2212.61,4620.14,3031.91,5351.1,5469.46,58.23,60.36,66.05,76.65,45.43,261.63,258.31,209.59,274.76,233.41,0.67,3.69,2.16,0.86,1.21,1.51,0.12,2.57,3.47,0.71,41.46,51.96,80.3,20.53,64.15,82.6,16.08,82.25,59.02,44.58,5.92,12.77,13.4,9.05,5.83
2025/6/11 14:30,99.56,81.64,75.93,92.31,9507.73,8007.69,8412.4,1084.86,1154.13,1217.43,1181.85,1201.41,1133.65,1142.49,1134.79,1148.83,1171.41,514.49,476.14,608.01,538.85,537.04,615.25,611.47,482.44,472.34,507.81,24.9,26.15,22.87,36.77,20.53,197.3,220.11,252.34,237.26,345.79,98.87,107.13,104.41,105.65,103.7,1321.53,1239.1,1532.78,1574.62,1329.89,2883,2249.34,907.25,4348.1,803.11,419.61,455.59,399.68,523.79,494.96,446.82,459.84,398.76,4419.1,2402.51,2476.29,1704.59,4788.04,46.79,64.79,53.07,54.93,72.18,274.92,249.74,297.02,208.39,286.76,4.5,3.82,2.75,3.96,0.78,4.48,4.42,1.76,1.65,0.3,25.94,73.64,61.22,93.07,36.16,46.53,30.81,23.57,87.97,33.7,17.96,14.68,21.95,29.09,9.29
2025/6/11 14:30,55.04,80.39,43.6,57.89,8727.77,7631.23,7559.63,1166.17,1047.17,1056.51,1098.56,1216.68,1063.02,1058.58,1155.51,1136.62,1184.14,580.48,577.57,561.17,588.25,617.47,561.03,452.44,512.81,485.01,501.53,32.38,35.29,36.27,39.71,17.52,304.21,349.39,377.38,184.75,303.63,103.52,108.8,99.99,107.9,97.13,1421.61,1363.15,1507.72,1489.43,1511.54,3064.35,1146.01,1867.15,688.69,592.97,464.24,452.79,487.98,558.29,501.85,456.79,418.25,477.78,2379.96,1990.95,4917.34,4470.94,4451.93,70.03,55.69,47.3,75.87,66.31,266.24,274.69,225.04,213.17,217.55,4.67,4.58,0.44,4.54,1.39,4.88,4.35,1.73,2.41,0.48,21.06,19.69,28.97,71.09,46.57,49.98,75.5,50.83,37.81,54.13,27.14,9.58,21.19,7.25,15.46
2025/6/11 14:30,97.93,50,84.5,87.42,7877.92,7715.58,8970.08,1159.19,1153.25,1047.06,1096.23,1131.93,1075.51,1139.9,1035.35,1092.87,1105.96,548.29,531.46,567.73,502.47,540.97,493.62,617.49,609.17,606.47,587.35,16.83,23.78,15.9,21.03,35.55,282.14,212.42,286.95,188.12,182.74,95.68,102.12,101.95,97.64,99.48,1361.59,1327.44,1289.38,1110.44,1208.88,4375.14,2325.62,2945.36,3063.77,4050.7,459.27,458.98,445.81,561.85,537.83,547.87,525.54,432.18,2813.98,4050.09,4204.7,4804.17,4077.78,53.63,49.28,55.65,45.18,79.38,207.94,292.04,221.37,231.06,276.11,3.6,1.8,0.5,3.97,2.73,4.31,3.67,4.51,1.51,2.98,75.03,76.59,24.11,18.59,10.8,55.61,72.5,29.44,37.43,92.62,8.59,12.2,19.38,16.97,17.54
2025/6/11 14:30,47.72,55.6,92.37,78.24,9391.56,9593.99,9288.24,1192.85,1063.75,1180.6,1149.49,1104.6,1084.01,1189.42,1141.96,1065.64,1216.4,556.22,504.34,566.67,465.53,465.78,456.28,539.13,599.77,482.45,463.94,27.84,30.97,15.56,16.04,20.75,231.05,335.34,213.4,214.15,370.18,102.82,99.31,95.17,100.34,108.6,1459.72,1236.17,1196.27,1209.29,1256.81,2738.95,2046.72,4171.66,1214.65,914.37,411.97,432.85,488.51,493.68,530.46,568.71,567.51,472.73,2016,2219.18,3953.04,3450.57,3461.96,60.13,74.46,74.23,64.85,46.55,215.55,256.78,272.7,231.4,206.86,2.85,0.45,2.33,1.69,2.28,3.01,3.2,0.69,0.34,3.15,70.11,89.35,94.78,78.15,99.21,38.81,86.81,87.6,34.59,99.18,24.42,6.5,5.58,20.09,22.73
2025/6/11 14:30,70.8,58.46,90.03,100.71,8156.8,8126.21,9354.75,1067.27,1057.27,1141.02,1168.94,1103.91,1176.54,1152.74,1085.39,1081.97,1144.96,454.47,519.97,459.33,519.35,528.45,456.21,475.77,616.47,619.69,489.6,26.52,37.97,22.55,31.94,38.05,365.95,246.34,360.79,314.22,333.54,99.56,104.81,104.98,106.6,108.1,1177.61,1251.49,1454.03,1440.39,1172.91,4320.17,2633.27,4064.14,3139.93,2257.59,459.79,462.67,401.07,511.97,446.82,537.6,563,497.91,3952.38,2250.03,2759.57,4416.51,1892.54,62.22,79.32,58.58,75.11,63.75,202.26,205.38,205.3,241.78,262,4.72,3.19,0.8,4.17,2.8,3.04,2.85,3.22,1.74,1.13,69.06,39.27,59.28,83.82,72.83,86.1,57.03,24.95,95.13,39.33,11.69,8.38,19.55,8.56,26.59
2025/6/11 14:30,103.74,77.59,73.92,66.55,9431.16,8966.59,7934.91,1218.7,1207.19,1202.54,1168.71,1064.83,1117.84,1155.92,1204.54,1101.4,1032.89,543.68,616.11,591.91,464.84,457.77,605.86,603.37,566.41,469.93,495.48,24.55,23.6,29.25,15.35,23.45,369.53,342.56,184.16,365.7,374.73,99.2,106.46,106.33,102.61,100.25,1420.15,1153.72,1170.87,1339.59,1115.28,824.74,1496.99,3125.2,3243.06,1367.73,457.94,461.32,427.14,489.38,410.78,438.26,380.65,477.33,5157.54,4526.86,2380.25,2673.57,3588.15,56.16,72.35,67.67,76.78,78.26,291.33,244.48,296.59,293.23,260.52,0.31,1.45,4.54,1.3,1.48,3.26,2.88,0.82,2.41,2.45,84.53,49.35,28,74.26,62.72,76.58,30.53,47.14,14.36,46.82,25.82,8.61,27.27,6.34,23.46
2025/6/11 14:30,96.54,105.78,84.06,62.54,9161.66,7814.49,8109.72,1171.38,1064.06,1119.71,1031.24,1044.27,1212.14,1172.15,1068.91,1176.09,1042.63,499.44,563.54,606.93,593.16,607.01,541.1,547.4,519.25,507.81,582.39,16.68,35.36,25.52,30.09,18.92,379.98,314.64,235.21,189.6,371.19,108.36,98.36,106.88,104.92,105.55,1493.56,1418.74,1314.22,1323.51,1328.33,1677.57,2246.65,2204.32,3215.05,4090.03,475.7,545.69,432.47,518.71,396.04,511.89,386.75,495.44,4361.51,2444.74,3019.94,4477.38,4187.3,73.04,45.04,67.01,74.82,51.65,283.84,246.53,233.97,284.08,219.96,2.96,4.94,3.7,3.33,2.22,1.63,2.81,1.24,2.7,0.85,78.79,25.89,98.13,60.45,34.74,93.84,67.14,86.63,34,34.87,28.03,11.87,29.38,9.46,28.87
2025/6/11 14:30,44.13,58.6,66.14,105.74,9128.86,7713.24,8031.42,1052.49,1121.85,1118.78,1179.31,1142.38,1048.38,1161.44,1115.27,1039.54,1143.48,559.34,498.37,618.47,519.89,466.88,482.06,452.21,612.69,571.01,615.71,36.86,29.67,37.9,18.95,31.64,228.88,239.84,318.75,207.52,321.98,106.57,105.97,102.62,108.05,101.49,1403.14,1454.56,1371,1249.17,1278.26,3007.76,3707.58,2360.14,2399.63,1108.57,462.68,419.72,382.67,384.61,535.42,536.17,397.95,550.5,2650.59,2576.78,2321.24,3615.06,3840.6,58.19,77.27,56.77,51.32,56.48,258.4,236.87,237.17,280.78,292.65,2.2,0.99,3.33,3.89,4.23,3.35,4.13,0.48,1.66,4.77,58.95,93.25,42.4,44.64,88.65,68.9,72.88,56.77,49.74,24.54,20.62,16.75,22.08,7.7,17.85
2025/6/11 14:30,46.15,108.11,95.49,52.31,8983.81,9665.28,7691.8,1059.42,1089.48,1126.57,1183.51,1059.84,1136.16,1207.63,1126.3,1126.26,1183.37,465.76,538.6,533.89,467.08,564.28,613.96,564.89,547.79,517.5,521.87,36.53,30.11,24.71,29.46,20.4,375.78,273.42,260.41,216.91,246.46,97.64,98.81,97.77,95.17,107.99,1523.83,1444.57,1335.56,1386.96,1370.55,1460.9,1996.15,1971.44,1084.55,2038.24,505.61,480.4,392.18,494.17,553.43,545.7,475.46,503.67,2438.65,3177.82,4971.81,5197.07,4586,47.35,75.27,65.98,45.88,63.46,263.5,244.25,217.77,265.04,283.88,3.66,3.9,2.56,0.22,3.01,1.62,1.55,3.92,4.42,4.1,55.44,46.67,90.1,61.32,58.24,40.18,32.85,98.96,10.71,28.37,19.53,25.52,22.21,25.82,25.37
2025/6/11 14:30,105.76,46.52,88.13,100.05,8838.48,8154.71,9459.04,1142.25,1031.29,1103.18,1164.2,1128.84,1164.62,1218.05,1170.56,1030.63,1185.18,540.41,583.15,543.44,590.63,488.1,543.9,548.1,582.06,601.55,564.19,17.78,24.49,28.39,21.87,15.26,303.57,245.05,182.85,365.76,207.02,104.41,107.94,98.55,97.3,109.7,1210.38,1145.88,1118.29,1319.8,1296.55,2143.84,1773.75,3987.55,3263.09,2830.36,441.47,420.07,463.67,510.43,561.17,548.64,427.73,552.3,2754.3,3784.96,2032.67,2197.66,2971.38,53.89,77.37,55.94,63.02,52.63,212.45,294.54,291.28,210.09,234.88,3.19,4.2,1.71,4.57,1.99,1.3,4.94,4.22,3.41,4.59,38.63,86.33,84.9,81.28,37.45,31.14,73.7,39.3,45.43,64.25,28.94,10.11,8.93,21.55,9.51
2025/6/11 14:30,45.58,65.35,53.73,46.77,8377.28,9636.12,8272.9,1107.4,1204.62,1099.32,1094.4,1037.22,1155.53,1213.76,1199.09,1059.54,1069.71,554.63,581.37,536.75,578.54,467.9,491.75,511.64,573.24,579.43,523.71,15.17,34.38,22.16,15.17,25.7,268.23,341.61,346.86,244.48,190.7,103.2,109.23,96.3,95,106.14,1454.71,1323.69,1254.73,1501.33,1294.57,2928.71,982.52,2520.94,1715.91,3554.09,512.98,444.34,563.93,386.65,471.05,452.26,569.32,559.56,4689.64,3244.25,4914.48,4579.67,3698.94,59.91,58.15,61.92,78.28,55,275.57,296.39,217.7,256.45,281.38,2.18,4.74,3.84,4.41,4.43,0.59,1.95,2.53,2.54,4.78,63.48,24.16,28.03,94.48,67.83,71.28,17.18,12.35,48.96,13.14,27.01,5.01,12.76,10.7,25.64
2025/6/11 14:30,58.22,61.41,45.65,44.67,8234.15,9509.12,7905.57,1119.06,1182.69,1150.6,1149.02,1088.91,1218.14,1142.41,1071.67,1153.21,1071.66,464.49,596.81,578.95,616.23,509.72,571.43,468.29,589.78,469.38,605.1,20.2,28.13,18.67,34.06,24.81,313.12,305.43,320.94,326.66,354.37,104.97,105.35,106.18,99.03,108.03,1318.13,1222.57,1396.37,1575.16,1515.69,3782.84,2826.52,1627.27,2880.85,2484.9,529.12,390.73,448.55,449.76,467.13,494.84,559.28,490.06,4271.54,4766.55,4030.97,2898.83,2633.64,66.39,68.39,59.86,78.71,71.93,206.82,234.06,219.24,267.6,274.29,2.17,0.62,1.46,1.08,3.02,3.85,2.17,3.96,4.17,1.32,23.61,52.73,70.06,62.33,10.69,86.77,61.92,24.43,41.98,39.39,27.76,23.93,15.43,19.67,23.92
2025/6/11 14:30,67.17,78.95,79.97,106.96,8256.35,9548.82,9004.07,1143.73,1147.72,1085.69,1080.47,1194.37,1082.03,1115.16,1152.72,1068.35,1196.02,567.8,617.49,519.29,613.52,577.2,491.12,513.58,609.93,552.34,582.22,17.45,23.66,39.73,20.67,24.02,183.14,191.3,217.42,377.54,312.09,95.7,97.67,107.62,98.46,108.57,1470.42,1208.2,1557.42,1412.7,1547.06,3214.9,588.86,2939.55,3102.18,1611.4,495.26,386.97,559.28,462.98,417.27,545.79,465.81,555.17,2111.18,2628.6,2196.72,3519.35,2645.18,69.67,45.28,72.03,60.69,79.34,211.17,277.97,252.29,272.51,273.23,2.54,1.26,4.79,1.67,0.32,1.21,1.04,2.68,2.47,1.16,81.76,81.47,93.14,91.75,55.56,30.86,66.96,12.68,74.74,23.09,28.3,12.75,12.49,20.96,5.53
2025/6/11 14:30,50.62,98.66,76.88,78.99,8439.94,9304.11,7960.71,1142.22,1059.81,1042.12,1164.08,1173.18,1130.35,1174.08,1079.06,1160.41,1123.9,498.49,571.93,612.04,561.79,513.96,579.55,538.38,509.42,614.79,475.04,29.17,39.19,30.67,16.7,27.57,342.78,317.97,196.21,339.35,344.67,100.47,109.54,107.53,95.85,106.99,1244.38,1333.03,1472.81,1319.46,1124.6,3426.58,638.02,1427.53,1707.63,4418.54,563.55,467.85,433.53,487.41,403.01,439.95,508.62,417.22,2962.17,5040.82,1834.08,3094.06,1718.98,59.97,49.16,54.21,66.15,75.95,270.48,292.34,259.87,251.42,212.6,0.77,1.55,4.14,3.72,0.3,2.61,3.14,1.36,2.14,2.69,87.17,62.61,18.35,32.93,86.46,97.73,42.69,20.85,84.38,89.89,10.18,15.14,14.15,18.66,11.2
2025/6/11 14:30,82.16,63.03,106.67,43.65,9139.83,8704.46,9316.88,1164.18,1136.61,1055.97,1062.25,1114.62,1196.99,1142.3,1119.08,1127.5,1148.87,502.83,613.63,577.76,476.12,515.63,572.38,499.5,562.25,569.21,454.16,20.46,27.09,18.83,18.03,29.92,303.61,293.87,333.61,347.9,237.21,98.9,101.18,109.29,103.07,96,1399.1,1200.95,1222.66,1471.89,1347.11,1579.68,2803.17,3497.78,3423.73,3486.71,554.82,540.33,432.53,550.63,553.47,451.27,388.63,545.77,4746.53,2127,3073.72,1934.63,2934.5,48.6,61.8,72.23,66,62.16,263.46,270.63,245.4,213.11,260.63,2.29,2.66,3.61,4.74,0.36,1.25,1.6,1.17,2.4,2.15,97.5,50.92,89.05,88.3,61.17,30.04,92.27,74.72,76.72,77.32,7.81,12.37,14.15,18.75,23.98
2025/6/11 14:30,44.73,51.96,106.09,109.63,9205.73,9488.61,8414.96,1093.65,1171.99,1092.95,1165.72,1198.22,1085.49,1038.67,1114.99,1213.51,1090.57,507.58,569.54,485.91,519.54,454.79,492.46,497.88,582.48,582.83,498.72,34.64,26.29,36.22,22.91,29.4,316.58,345.58,305.76,231.86,379.67,96.21,108.53,104.54,98.41,95.26,1527.14,1300.86,1212.7,1494.88,1457.92,4199.18,1591.44,773.84,1782.72,678.11,533.38,430.37,383.76,435.06,544.14,429.6,544.13,404.33,1768.06,2496.34,2721.43,3448.08,2162.73,68.98,50.22,68.65,47.79,56.76,223.34,246.81,271.28,298.7,284.27,1.49,3.31,3.58,0.34,4.11,2.07,3.14,2.66,0.95,4.43,17.09,79.42,23.11,90.67,19.85,20.5,89.36,94.02,77.57,33.24,18.43,25.15,22.29,18.35,8.84
2025/6/11 14:30,68.54,62.82,62.64,103.09,7796.41,8446.83,9393.64,1121.38,1032.88,1092.31,1150.08,1110.49,1219.1,1159.54,1182.89,1185.56,1175.19,553.96,605.01,495.55,572.47,562.5,518.69,598.62,536.76,470.18,588.89,18.08,34.13,30.52,15.62,21.79,349.29,320.65,265.52,333.81,269.87,109.77,104.48,96.91,95.38,106.88,1468.2,1514.14,1152.09,1473.13,1106.91,2058.88,1926.35,3504.02,3807.81,2622.93,445.25,563.99,544.6,492,384.58,552.25,447.88,389.52,3963.93,4340.35,1854.4,4237.96,3373,70.12,76.81,58.91,75.53,75.7,241.4,207.61,207.7,217.79,266.52,3.68,0.2,2.48,3.41,0.51,2.07,4.84,0.74,4.27,3.03,12.78,50.12,59.22,49.48,49.6,47.32,15.9,65.44,17.3,45.22,27.09,19.77,14.06,6.84,12.39
